interaction_id,user_email,user_phone,contact_type,interaction_date,interaction_time,in_processing_date,in_processing_time,label_created_date,label_created_time,marked_in_transit_date,marked_in_transit_time,marked_as_delivery_date,marked_as_delivery_time,estimated_ship_date,status,status_changed,billing_provider,item_count,products,variants,sku,Order SKU Count,ship_to_name,ship_to_country,ship_to_state,ship_to_city,ship_to_zip,ship_to_line_1,ship_to_line_2,Refund Amount,item_balance,total_including_tax,State_sales_tax,sales_tax_state,coupon,contact_rate,Agent ,presale_contact,sale,post_sale_contact,set_up,loadup_haul_away,loadup_set_up_and_haul_away,loadup_haul_away_return,AOV,AOC
1030,user@maiul.com,,Order,,,,,,,,,,,,Canceled,,,,,,SKU1,2,,,,,,,,,,,,,,,,,,,,,,,,AOC
1030,user@maiul.com,,Order,,,,,,,,,,,,Canceled,,,,,,SKU2,2,,,,,,,,,,,,,,,,,,,,,,,,
222,chat@email.com,,Chat,,,,,,,,,,,,Resolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030A,user@maiul.com,,Order Edit,,,,,,,,,,,,Ordered,,,,,,SKU1,2,,,,,,,,,,,,,,,,,,,,,,,,
1030A,user@maiul.com,,Order Edit,,,,,,,,,,,,Ordered,,,,,,SKU2,2,,,,,,,,,,,,,,,,,,,,,,,,
333,user@maiul.com,,Ticket,,,,,,,,,,,,Resolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,user2@email.com,415-555-6644,Phone,,,,,,,,,,,,Not resolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,user2@email.com,415-555-6644,Email,,,,,,,,,,,,Not resolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030A,user@maiul.com,,Refund,,,,,,,,,,,,Refunded,,,,,,,,,,,,,,,$100,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,On hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Shipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Delivered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Failed delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Returned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Reshipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
